[2026-02-04 23:26:09] [INFO    ] discord.client: logging in using static token
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'lazy': True, 'splash': None, 'inventory_settings': None, 'unavailable': False, 'activity_instances': [], 'voice_states': [], 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'profile': None, 'moderator_reporting': None, 'discovery_splash': None, 'vanity_url_code': None, 'members': [{'user': {'username': 'DraftBot', 'public_flags': 0, 'primary_guild': None, 'id': '1432212560454750269', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5539', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bf74e5d78a1f583e27e1d1f876d5a346'}, 'roles': ['1432213690785992869'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T03:45:53.200000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'owner_id': '418935853407010842', 'nsfw_level': 0, 'nsfw': False, 'id': '837478665309913088', 'premium_subscription_count': 0, 'name': "Dc's server", 'application_command_counts': {}, 'hub_type': None, 'verification_level': 0, 'rules_channel_id': None, 'incidents_data': None, 'application_id': None, 'banner': None, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '837478665309913089', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '837478665309913090', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '837478665309913089', 'name': 'general', 'last_message_id': '1464857159140642908', 'id': '837478665309913091', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '837478665309913090', 'name': 'General', 'last_message_id': None, 'id': '837478665309913092', 'flags': 0, 'bitrate': 64000}, {'version': 1685285914028, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '837478665309913089', 'name': 'ticket', 'last_message_id': None, 'id': '1112394491345768508', 'flags': 0}, {'version': 1769634814930, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '837478665309913089', 'name': 'bot', 'last_message_id': '1466180704433078446', 'id': '1466179423794630687', 'flags': 0}], 'stage_instances': [], 'threads': [], 'embedded_activities': [], 'premium_tier': 0, 'large': False, 'description': None, 'region': 'deprecated', 'explicit_content_filter': 0, 'stickers': [], 'premium_progress_bar_enabled_user_updated_at': None, 'safety_alerts_channel_id': None, 'presences': [], 'latest_onboarding_question_id': None, 'system_channel_id': '837478665309913091', 'public_updates_channel_id': None, 'features': [], 'mfa_level': 0, 'premium_progress_bar_enabled': False, 'premium_features': None, 'max_members': 25000000, 'member_count': 11, 'home_header': None, 'joined_at': '2025-10-27T03:45:53.200000+00:00', 'afk_timeout': 300, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '837478665309913088', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '261302296103747584'}, 'position': 1, 'permissions': '388160', 'name': 'Avrae', 'mentionable': False, 'managed': True, 'id': '849756774394232863', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '965255605000495134'}, 'position': 1, 'permissions': '534723947584', 'name': 'Roller', 'mentionable': False, 'managed': True, 'id': '965258104088440855', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1685285871384, 'unicode_emoji': None, 'tags': {'bot_id': '557628352828014614'}, 'position': 1, 'permissions': '2416045072', 'name': 'Ticket Tool', 'mentionable': False, 'managed': True, 'id': '1112394312056045731', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1697481216228, 'unicode_emoji': None, 'tags': {'bot_id': '936929561302675456'}, 'position': 1, 'permissions': '2147601472', 'name': 'Midjourney Bot', 'mentionable': False, 'managed': True, 'id': '1163545296031187038', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761536753168, 'unicode_emoji': None, 'tags': {'bot_id': '1432212560454750269'}, 'position': 1, 'permissions': '274877983808', 'name': 'DraftBot', 'mentionable': False, 'managed': True, 'id': '1432213690785992869', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1766181164172, 'unicode_emoji': None, 'tags': {'bot_id': '1451683815281004634'}, 'position': 1, 'permissions': '277025466432', 'name': 'RoleBot', 'mentionable': False, 'managed': True, 'id': '1451693732578726051', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'emojis': [], 'default_message_notifications': 0, 'preferred_locale': 'en-US', 'soundboard_sounds': [], 'icon': '54e191a259c0b485e3695e260734a3fc', 'version': 1753900190527, 'max_video_channel_users': 25, 'afk_channel_id': None, 'guild_scheduled_events': [], 'owner_configured_content_level': 0}}
[2026-02-04 23:26:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'cebdfcc378ab36882221f59f79b7254d', 'members': [{'user': {'username': 'Avrae', 'public_flags': 65536, 'primary_guild': None, 'id': '261302296103747584', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '6944', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b4926b52f7f1c966e01e25f0b33253f1'}, 'roles': ['849756774394232863'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-06-02T21:10:02.758000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'dc33.', 'public_flags': 0, 'primary_guild': {'tag': 'PKMN', 'identity_guild_id': '111504456838819840', 'identity_enabled': True, 'badge': 'f8e9d20c610bcdfc007cdeee70ad76fb'}, 'id': '418935853407010842', 'global_name': 'Dc', 'display_name_styles': None, 'display_name': 'Dc', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '15ee57bd639367390299e8ca02746b4d'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': 'Danny', 'mute': False, 'joined_at': '2021-04-30T00:01:13.422000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Ticket Tool', 'public_flags': 65536, 'primary_guild': None, 'id': '557628352828014614', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4843', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'dd89587457ef9f971d331426cad9e2be'}, 'roles': ['1112394312056045731'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-05-28T14:57:51.406000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'solon8230', 'public_flags': 0, 'primary_guild': None, 'id': '658755730949537802', 'global_name': 'Solon', 'display_name_styles': None, 'display_name': 'Solon', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': "Dc's Alt", 'mute': False, 'joined_at': '2021-04-30T00:03:44.710000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Porygon', 'public_flags': 65536, 'primary_guild': None, 'id': '692091256477581423', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1517', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '634148e2b64c4cd5e555d9677188e1e2'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-07T04:01:30.572000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Midjourney Bot', 'public_flags': 589824, 'primary_guild': None, 'id': '936929561302675456', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9282', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f6ce562a6b4979c4b1cbc5b436d3be76'}, 'roles': ['1163545296031187038'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-16T18:33:36.252000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Roller', 'public_flags': 0, 'primary_guild': None, 'id': '965255605000495134', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8376', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['965258104088440855'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-04-17T14:31:05.717000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'egg_baskin', 'public_flags': 0, 'primary_guild': None, 'id': '1060733856115871865', 'global_name': 'egg_baskin', 'display_name_styles': None, 'display_name': 'egg_baskin', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-01-06T01:50:13.929000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'DraftBot', 'public_flags': 0, 'primary_guild': None, 'id': '1432212560454750269', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5539', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bf74e5d78a1f583e27e1d1f876d5a346'}, 'roles': ['1432213690785992869'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T03:45:53.200000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'rlorren_19721', 'public_flags': 0, 'primary_guild': None, 'id': '1451451145422635079', 'global_name': 'rlorren', 'display_name_styles': None, 'display_name': 'rlorren', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-19T05:50:24.848000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'RoleBot', 'public_flags': 0, 'primary_guild': None, 'id': '1451683815281004634', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8044', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bec2b79220ef8ed4a9733cede1829c12'}, 'roles': ['1451693732578726051'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-19T21:52:37.070000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '837478665309913088', 'chunk_index': 0, 'chunk_count': 1}}
[2026-02-04 23:26:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-04 23:26:10] [DEBUG   ] discord.state: Processed a chunk for 11 members in guild ID 837478665309913088.
[2026-02-04 23:26:12] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-04 23:26:12] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-04 23:26:12] [DEBUG   ] discord.gateway: Sending "{"op":3,"d":{"activities":[{"type":0,"name":"/helpme for commands","timestamps":{},"platform":null,"assets":{}}],"afk":false,"since":0.0,"status":"online"}}" to change status
[2026-02-04 23:26:13] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1432212560454750269/commands with [{"name":"leave","description":"Leave a pick for yourself","type":1,"options":[{"type":3,"name":"mon","description":"The pick you want to leave","required":true,"autocomplete":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"leavefor","description":"Leave a pick for another user","type":1,"options":[{"type":3,"name":"mon","description":"The pick to leave","required":true,"autocomplete":true},{"type":6,"name":"user","description":"The user's name","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"pick","description":"Retrieve your latest pick","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"pickfor","description":"Retrieve another user's latest pick","type":1,"options":[{"type":6,"name":"user","description":"The username to retrieve a pick for","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"picks","description":"View picks for a specific user","type":1,"options":[{"type":6,"name":"user","description":"The username to check picks for","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"checkpick","description":"Check if a pick is available","type":1,"options":[{"type":3,"name":"pick","description":"The pick to check availability for","required":true,"autocomplete":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"time","description":"Show time since the most recent message","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"timer","description":"Start a countdown timer","type":1,"options":[{"type":4,"name":"seconds","description":"Number of seconds for the timer","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"helpme","description":"Show available commands","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"shutdown","description":"Shut down the bot (admin only)","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-02-04 23:26:13] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-02-04 23:26:13] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1432212560454750269/commands has received [{'id': '1450335598047920210', 'application_id': '1432212560454750269', 'version': '1464867236190752848', 'default_member_permissions': None, 'type': 1, 'name': 'leave', 'name_localizations': None, 'description': 'Leave a pick for yourself', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'mon', 'name_localizations': None, 'description': 'The pick you want to leave', 'description_localizations': None, 'required': True, 'autocomplete': True}], 'nsfw': False}, {'id': '1464853787259699231', 'application_id': '1432212560454750269', 'version': '1464867236190752849', 'default_member_permissions': None, 'type': 1, 'name': 'leavefor', 'name_localizations': None, 'description': 'Leave a pick for another user', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'mon', 'name_localizations': None, 'description': 'The pick to leave', 'description_localizations': None, 'required': True, 'autocomplete': True}, {'type': 6, 'name': 'user', 'name_localizations': None, 'description': "The user's name", 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1464853787259699233', 'application_id': '1432212560454750269', 'version': '1464860792221597728', 'default_member_permissions': None, 'type': 1, 'name': 'pick', 'name_localizations': None, 'description': 'Retrieve your latest pick', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1464853787259699234', 'application_id': '1432212560454750269', 'version': '1464860792221597729', 'default_member_permissions': None, 'type': 1, 'name': 'pickfor', 'name_localizations': None, 'description': "Retrieve another user's latest pick", 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': 'The username to retrieve a pick for', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1450335598047920212', 'application_id': '1432212560454750269', 'version': '1468825016903667881', 'default_member_permissions': None, 'type': 1, 'name': 'picks', 'name_localizations': None, 'description': 'View picks for a specific user', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': 'The username to check picks for', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1464853787259699232', 'application_id': '1432212560454750269', 'version': '1468825016903667882', 'default_member_permissions': None, 'type': 1, 'name': 'checkpick', 'name_localizations': None, 'description': 'Check if a pick is available', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 3, 'name': 'pick', 'name_localizations': None, 'description': 'The pick to check availability for', 'description_localizations': None, 'required': True, 'autocomplete': True}], 'nsfw': False}, {'id': '1464853787259699235', 'application_id': '1432212560454750269', 'version': '1464853787410825434', 'default_member_permissions': None, 'type': 1, 'name': 'time', 'name_localizations': None, 'description': 'Show time since the most recent message', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1450335598047920213', 'application_id': '1432212560454750269', 'version': '1464853787259699239', 'default_member_permissions': None, 'type': 1, 'name': 'timer', 'name_localizations': None, 'description': 'Start a countdown timer', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 4, 'name': 'seconds', 'name_localizations': None, 'description': 'Number of seconds for the timer', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1450335598047920215', 'application_id': '1432212560454750269', 'version': '1450335598488326291', 'default_member_permissions': None, 'type': 1, 'name': 'helpme', 'name_localizations': None, 'description': 'Show available commands', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}, {'id': '1450335598047920216', 'application_id': '1432212560454750269', 'version': '1464853787410825435', 'default_member_permissions': None, 'type': 1, 'name': 'shutdown', 'name_localizations': None, 'description': 'Shut down the bot (admin only)', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'nsfw': False}]
[2026-02-04 23:26:51] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-02-04 23:26:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-04 23:27:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-02-04 23:27:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-04 23:28:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-02-04 23:28:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
